Questions,Queries
what sort of film is The Barretts of Wimpole Street?,"db.movies.find({""title"": ""The Barretts of Wimpole Street""}, {""genres"": 1})"
What is the prevailing movie genre in Robert Bresson's directed films?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Robert Bresson"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
Which types of movies has Ridley Scott directed?,"db.movies.distinct(""genres"", { ""directors"": ""Ridley Scott"" })"
What is the runtime of the movie Der Kaiser von Kalifornien ?,"db.movies.find({""title"": ""Der Kaiser von Kalifornien""}, { ""runtime"": 1})"
what is the movie In the Land of the Head Hunters about in details?,"db.movies.find({""title"": ""In the Land of the Head Hunters""}, {""fullplot"": 1})"
What is the Rotten Tomatoes meter rating for the movie Now or Never ?,"db.movies.find({""title"":""Now or Never""}, {""tomatoes.viewer.meter"": 1,""tomatoes.critic.meter"":1})"
What type of movie is Lenin in October ?,"db.movies.find({""title"":""Lenin in October""}, {""genres"":1})"
What is the IMDb rating for the movie Man of Aran?,"db.movies.find({""title"": ""Man of Aran""}, {""imdb.rating"": 1})"
What are the genres associated with the movie A Star Is Born ?,"db.movies.find({ ""title"": ""A Star Is Born"" }, { ""genres"": 1})"
which company produced the film Gold Diggers of 1935?,"db.movies.find({""title"":""Gold Diggers of 1935""}, {""tomatoes.production"":1})"
In what language was the movie Skippy released?,"db.movies.find({ ""title"": ""Skippy"" }, { ""languages"": 1})"
What is the IMDb rating for The Story of a Cheat?,"db.movies.find({""title"": ""The Story of a Cheat""}, {""imdb.rating"": 1})"
What is the language of the movie David Copperfield?,"db.movies.find({""title"":""David Copperfield""}, {""languages"":1})"
What is the rating of the movie The Hurricane ?,"db.movies.find({ ""title"": ""The Hurricane"" }, { ""rated"": 1})"
Who are the actors in the movie Dishonored?,"db.movies.find({""title"":""Dishonored""}, {""cast"":1})"
which person wrote the film Children in the Wind?,"db.movies.find({""title"": ""Children in the Wind""}, {""writers"": 1})"
who is the writer of The Edge of the World?,"db.movies.find({""title"": ""The Edge of the World""}, {""writers"": 1})"
the film The Song of Night starred which actors?,"db.movies.find({""title"": ""The Song of Night""}, {""cast"": 1})"
who wrote the film The Guardsman?,"db.movies.find({""title"": ""The Guardsman""}, {""writers"": 1})"
who's the director of Beau Geste?,"db.movies.find({""title"": ""Beau Geste""}, {""directors"": 1})"
What is the audience rating of the movie Ruggles of Red Gap ?,"db.movies.find({ ""title"": ""Ruggles of Red Gap"" },{ ""tomatoes.viewer.rating"": 1 })"
what was the release year of the film The Lower Depths?,"db.movies.find({""title"": ""The Lower Depths""}, {""year"": 1})"
How long is the runtime of the movie Cops ?,"db.movies.find({""title"":""Cops""}, {""runtime"":1})"
How many comments have been posted by users on the movie The Crusades's page on the Mflix platform?,"db.movies.find({ ""title"": ""The Crusades"" }, { ""num_mflix_comments"": 1 })"
who are the actors in the movie Nosferatu?,"db.movies.find({""title"": ""Nosferatu""}, {""cast"": 1})"
What is the IMDb rating for the movie Dekigokoro ?,"db.movies.find({""title"":""Dekigokoro""}, {""imdb.rating"":1})"
what year was the movie Tol'able David released?,"db.movies.find({""title"": ""Tol'able David""}, {""year"": 1})"
which company produced The Black Pirate?,"db.movies.find({""title"":""The Black Pirate""}, {""tomatoes.production"":1})"
what was the release year of the movie Who Killed Cock Robin??,"db.movies.find({""title"": ""Who Killed Cock Robin?""}, {""year"": 1})"
Chapayev is a movie written by this person?,"db.movies.find({""title"": ""Chapayev""}, {""writers"": 1})"
who's the director of Napoleon?,"db.movies.find({""title"": ""Napoleon""}, {""directors"": 1})"
who is the writer of the movie The Crowd?,"db.movies.find({""title"": ""The Crowd""}, {""writers"": 1})"
who is listed as director for The Four Horsemen of the Apocalypse?,"db.movies.find({""title"": ""The Four Horsemen of the Apocalypse""}, {""directors"": 1})"
the film Mutiny on the Bounty was directed by who?,"db.movies.find({""title"": ""Mutiny on the Bounty""}, {""directors"": 1})"
The Private Life of Don Juan was directed by who?,"db.movies.find({""title"": ""The Private Life of Don Juan""}, {""directors"": 1})"
"Has the movie The Prince and the Pauper won any awards? If so, which ones?","db.movies.find({""title"":""The Prince and the Pauper"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
who is the author of Foolish Wives?,"db.movies.find({""title"": ""Foolish Wives""}, {""writers"": 1})"
the movie Twentieth Century starred who?,"db.movies.find({""title"": ""Twentieth Century""}, {""cast"": 1})"
What movie directed by Christopher Nolan has the best Rotten Tomatoes score?,"db.movies.find({""directors"": ""Christopher Nolan"", ""tomatoes.critic.rating"": {""$exists"": true}}, {""title"": 1, ""_id"": 0}).sort({""tomatoes.critic.rating"": -1}).limit(1)"
When was the information about the movie The Son of Kong last updated?,"db.movies.find({ ""title"": ""The Son of Kong"" }, { ""lastupdated"": 1})"
In what year was the movie Anthony Adverse released?,"db.movies.find({""title"":""Anthony Adverse""}, {""year"":1})"
In what year was the movie Sherlock Jr. released?,"db.movies.find({""title"":""Sherlock Jr.""}, {""year"":1})"
what genre of movie is Wonder Bar?,"db.movies.find({""title"": ""Wonder Bar""}, {""genres"": 1})"
who are the actors in the movie Black Legion?,"db.movies.find({""title"": ""Black Legion""}, {""cast"": 1})"
Can you provide a detailed summary of the movie Earth plot?,"db.movies.find({ ""title"": ""Earth"" }, { ""fullplot"": 1})"
Who are the writers of the movie Morocco ?,"db.movies.find({""title"": ""Morocco""}, { ""writers"": 1})"
What languages are spoken in the movie Wife! Be Like a Rose!?,"db.movies.find({""title"":""Wife! Be Like a Rose!""}, {""languages"":1})"
In what year was the movie The Black Pirate released?,"db.movies.find({""title"":""The Black Pirate""}, {""year"":1})"
What is the production company of the film Imitation of Life?,"db.movies.find({""title"":""Imitation of Life""}, {""tomatoes.production"":1})"
who stars in the film Cimarron?,"db.movies.find({""title"": ""Cimarron""}, {""cast"": 1})"
I'm curious about the films that were directed by Andrei Tarkovsky. Can you name them?,"db.movies.find({""directors"": ""Andrei Tarkovsky""},{""title"":1})"
the film In Old Chicago starred which actors?,"db.movies.find({""title"": ""In Old Chicago""}, {""cast"": 1})"
what year was A Damsel in Distress released?,"db.movies.find({""title"": ""A Damsel in Distress""}, {""year"": 1})"
"Has the film Wild Oranges won any awards? If so, which ones?","db.movies.find({""title"":""Wild Oranges"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
How long is the movie The Champ in minutes?,"db.movies.find({""title"":""The Champ""}, {""runtime"":1})"
who wrote Twentieth Century?,"db.movies.find({""title"": ""Twentieth Century""}, {""writers"": 1})"
who acted in the movie The Passion of Joan of Arc?,"db.movies.find({""title"": ""The Passion of Joan of Arc""}, {""cast"": 1})"
When was the movie Napoleon released in theaters?,"db.movies.find({""title"": ""Napoleon""}, {""released"": 1})"
What is the total number of films that Eric Rohmer has directed up to now?,"db.movies.countDocuments({""directors"":""Eric Rohmer""})"
who is the writer of the movie The Broadway Melody?,"db.movies.find({""title"": ""The Broadway Melody""}, {""writers"": 1})"
what type of movie is A Woman of Paris: A Drama of Fate?,"db.movies.find({""title"": ""A Woman of Paris: A Drama of Fate""}, {""genres"": 1})"
Can you provide more information about the Rotten Tomatoes rating for the movie Chapayev?,"db.movies.find({""title"": ""Chapayev""}, { ""tomatoes.critic"": 1, ""tomatoes.viewer"": 1, ""tomatoes.consensus"": 1 })"
who stars in The Circus?,"db.movies.find({""title"": ""The Circus""}, {""cast"": 1})"
Who are the actors that appear in the movie Toni ?,"db.movies.find({ ""title"": ""Toni"" },{ ""cast"": 1 })"
What is the language of the movie Go West?,"db.movies.find({""title"":""Go West""}, {""languages"":1})"
What is the MPAA rating of The Wind?,"db.movies.find({""title"":""The Wind""}, {""rated"":1})"
what type of film is Twentieth Century?,"db.movies.find({""title"": ""Twentieth Century""}, {""genres"": 1})"
which person directed It?,"db.movies.find({""title"": ""It""}, {""directors"": 1})"
What is the full plot summary of the movie Upstream ?,"db.movies.find({""title"": ""Upstream""}, {""plot"": 1})"
what is the movie Follow the Fleet about?,"db.movies.find({""title"": ""Follow the Fleet""}, {""plot"": 1})"
what is the genre for the film Secret Agent?,"db.movies.find({""title"": ""Secret Agent""}, {""genres"": 1})"
How did the audience and critics receive the film Topaze?,"db.movies.find({""title"":""Topaze""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
can you describe the plot of Blacksmith Scene?,"db.movies.find({""title"": ""Blacksmith Scene""}, {""plot"": 1})"
the director of One Week was?,"db.movies.find({""title"": ""One Week""}, {""directors"": 1})"
who wrote the movie Daughter of Shanghai?,"db.movies.find({""title"": ""Daughter of Shanghai""}, {""writers"": 1})"
the movie Tol'able David starred who?,"db.movies.find({""title"": ""Tol'able David""}, {""cast"": 1})"
What is the ID of the movie 7th Heaven on IMDB?,"db.movies.find({""title"": ""7th Heaven""}, {""imdb.id"": 1})"
the film The Awful Truth starred which actors?,"db.movies.find({""title"": ""The Awful Truth""}, {""cast"": 1})"
I'm curious about the films that were directed by Jean-Pierre Melville. Can you name them?,"db.movies.find({""directors"": ""Jean-Pierre Melville""},{""title"":1})"
What is the running time of the movie David Golder?,"db.movies.find({""title"":""David Golder""}, {""runtime"":1})"
What is the audience rating of the movie Going Hollywood ?,"db.movies.find({ ""title"": ""Going Hollywood"" },{ ""tomatoes.viewer.rating"": 1 })"
who directed Miss Lulu Bett?,"db.movies.find({""title"": ""Miss Lulu Bett""}, {""directors"": 1})"
What is the box office revenue of the movie A Story of Floating Weeds ?,"db.movies.find({""title"": ""A Story of Floating Weeds""}, { ""tomatoes.boxOffice"": 1})"
what was the genre of the film Battling Butler?,"db.movies.find({""title"": ""Battling Butler""}, {""genres"": 1})"
Greed was directed by who?,"db.movies.find({""title"": ""Greed""}, {""directors"": 1})"
What is the rating of the movie Broadway Bill according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""Broadway Bill""}, {""tomatoes.viewer.rating"": 1})"
who is the author of The Wedding Night?,"db.movies.find({""title"": ""The Wedding Night""}, {""writers"": 1})"
What are the names of all the actors who starred in the movie 'Curly Top'?,"db.movies.find({""title"": ""Curly Top""}, {""cast"": 1})"
what is Mèdchen in Uniform description?,"db.movies.find({""title"": ""Mèdchen in Uniform""}, {""plot"": 1})"
What is the running time of the film The Prisoner of Zenda?,"db.movies.find({""title"":""The Prisoner of Zenda""}, {""runtime"":1})"
who wrote the film Little Women?,"db.movies.find({""title"": ""Little Women""}, {""writers"": 1})"
What was the release date for the movie Battling Butler?,"db.movies.find({""title"":""Battling Butler""}, {""released"":1})"
What is the IMDb rating for the movie Duck Soup ?,"db.movies.find({""title"":""Duck Soup""}, {""imdb.rating"":1})"
The Strong Man is a movie written by this person?,"db.movies.find({""title"": ""The Strong Man""}, {""writers"": 1})"
who produced Go West?,"db.movies.find({""title"":""Go West""}, {""tomatoes.production"":1})"
what was the release date of Two Seconds?,"db.movies.find({""title"": ""Two Seconds""}, {""released"": 1})"
who produced the movie Bad Girl?,"db.movies.find({""title"":""Bad Girl""}, {""tomatoes.production"":1})"
How did the audience and critics receive Scrooge?,"db.movies.find({""title"":""Scrooge""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the rating of the movie The 39 Steps on IMDb?,"db.movies.find({""title"":""The 39 Steps""}, {""imdb.rating"":1})"
can you describe the plot of The Divine Lady?,"db.movies.find({""title"": ""The Divine Lady""}, {""plot"": 1})"
who are the actors in Beau Geste?,"db.movies.find({""title"": ""Beau Geste""}, {""cast"": 1})"
What are the genres this movie Stage Door belongs to?,"db.movies.find({""title"":""Stage Door""}, {""genres"":1})"
What is the running time of the movie The Cheat?,"db.movies.find({""title"":""The Cheat""}, {""runtime"":1})"
What are the genres associated with the movie These Three ?,"db.movies.find({ ""title"": ""These Three"" }, { ""genres"": 1})"
What is the IMDb rating for the movie Snow White and the Seven Dwarfs?,"db.movies.find({""title"": ""Snow White and the Seven Dwarfs""}, {""imdb.rating"": 1})"
What languages are spoken in the movie Marked Woman?,"db.movies.find({""title"":""Marked Woman""}, {""languages"":1})"
who are the actors in the movie It?,"db.movies.find({""title"": ""It""}, {""cast"": 1})"
which company produced The Fall of the House of Usher?,"db.movies.find({""title"":""The Fall of the House of Usher""}, {""tomatoes.production"":1})"
What is the IMDb rating for the movie Romance ?,"db.movies.find({""title"":""Romance""}, {""imdb.rating"":1})"
what was the genre of the film Gold Diggers of 1933?,"db.movies.find({""title"": ""Gold Diggers of 1933""}, {""genres"": 1})"
Can you give me a brief summary of the movie è Nous la Libertè plot?,"db.movies.find({""title"":""è Nous la Libertè""}, {""plot"":1})"
What is the audience rating of the movie From Hand to Mouth ?,"db.movies.find({ ""title"": ""From Hand to Mouth"" },{ ""tomatoes.viewer.rating"": 1 })"
what genre of movie is Bad Girl?,"db.movies.find({""title"": ""Bad Girl""}, {""genres"": 1})"
what is the movie King of Jazz about in details?,"db.movies.find({""title"": ""King of Jazz""}, {""fullplot"": 1})"
What languages are spoken in the movie Triumph of the Will?,"db.movies.find({""title"":""Triumph of the Will""}, {""languages"":1})"
Can you provide more information about the IMDb rating for the movie Berkeley Square ?,"db.movies.find({""title"":""Berkeley Square""}, {""imdb"":1})"
who is the director for A Farewell to Arms?,"db.movies.find({""title"": ""A Farewell to Arms""}, {""directors"": 1})"
Can you provide a longer version of the movie The Poor Little Rich Girl plot?,"db.movies.find({""title"":""The Poor Little Rich Girl""}, {""fullplot"":1})"
What is the total number of films that Jean Renoir has directed up to now?,"db.movies.countDocuments({""directors"":""Jean Renoir""})"
"Has the film Foolish Wives won any awards? If so, which ones?","db.movies.find({""title"":""Foolish Wives"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
what was the release year of Pèpè le Moko?,"db.movies.find({""title"": ""Pèpè le Moko""}, {""year"": 1})"
What type of movie is The Jazz Singer ?,"db.movies.find({""title"":""The Jazz Singer""}, {""genres"":1})"
Who is the director of the movie Swedenhielms Family?,"db.movies.find({""title"": ""Swedenhielms Family""}, { ""directors"": 1})"
What is the text description of the movie Who Killed Cock Robin? awards?,"db.movies.find({""title"":""Who Killed Cock Robin?""}, {""awards.text"":1})"
What is the consensus among critics about the movie The Beloved Vagabond ?,"db.movies.find({""title"": ""The Beloved Vagabond""}, {""tomatoes.consensus"": 1})"
what is La Grande Illusion imdb rating?,"db.movies.find({""title"": ""La Grande Illusion""}, {""imdb.rating"": 1})"
who was the movie Everybody's Woman written by?,"db.movies.find({""title"": ""Everybody's Woman""}, {""writers"": 1})"
what was the release date of the film Comradeship?,"db.movies.find({""title"": ""Comradeship""}, {""released"": 1})"
What is the runtime of the movie The Black Pirate ?,"db.movies.find({""title"": ""The Black Pirate""}, { ""runtime"": 1})"
what is the plot for They Won't Forget?,"db.movies.find({""title"": ""They Won't Forget""}, {""plot"": 1})"
Who are the actors that appear in the movie Les Misèrables ?,"db.movies.find({ ""title"": ""Les Misèrables"" },{ ""cast"": 1 })"
What is the language of David Golder?,"db.movies.find({""title"":""David Golder""}, {""languages"":1})"
who are the actors in the movie The Crowd?,"db.movies.find({""title"": ""The Crowd""}, {""cast"": 1})"
who is listed as director for The Unknown?,"db.movies.find({""title"": ""The Unknown""}, {""directors"": 1})"
Who is the actor that has acted in the maximum number of movies directed by Roberto Rossellini?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Roberto Rossellini"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
which company produced the movie Lenin in October?,"db.movies.find({""title"":""Lenin in October""}, {""tomatoes.production"":1})"
who was the writer of the film Battleship Potemkin?,"db.movies.find({""title"": ""Battleship Potemkin""}, {""writers"": 1})"
Who are the main actors/actresses in the movie Disraeli?,"db.movies.find({""title"":""Disraeli""}, {""cast"":1})"
what genre of film is They Won't Forget?,"db.movies.find({""title"": ""They Won't Forget""}, {""genres"": 1})"
Could you inform me of the movies that Roman Polanski directed?,"db.movies.find({""directors"": ""Roman Polanski""},{""title"":1})"
who directed the film A Midsummer Night's Dream?,"db.movies.find({""title"": ""A Midsummer Night's Dream""}, {""directors"": 1})"
what is the plot for the movie Cimarron?,"db.movies.find({""title"": ""Cimarron""}, {""plot"": 1})"
what's the main genre of the movies directed by Steven Spielberg ?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Steven Spielberg"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
how many awards did Who Killed Cock Robin? win?,"db.movies.find({""title"":""Who Killed Cock Robin?""}, {""awards.wins"":1})"
What is the production company behind the movie Mèdchen in Uniform ?,"db.movies.find({""title"": ""Mèdchen in Uniform""}, {""tomatoes.production"": 1})"
What is the box office revenue for the movie 'College'?,"db.movies.find({""title"": ""College""}, {""tomatoes.boxOffice"": 1})"
Which actor has the highest count of appearances in Kenji Mizoguchi's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Kenji Mizoguchi"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
Could you tell me which Vittorio De Sica-directed film has the longest running time?,"db.movies.find({""directors"":""Vittorio De Sica""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": -1}).limit(1)"
What is the freshness score of the movie Dodsworth on Rotten Tomatoes?,"db.movies.find({""title"": ""Dodsworth""}, {""tomatoes.fresh"": 1})"
How many audience reviews have been submitted for the movie The Black Pirate ?,"db.movies.find({ ""title"": ""The Black Pirate"" },{ ""tomatoes.viewer.numReviews"": 1 })"
What is the movie Little Caesar rating?,"db.movies.find({""title"":""Little Caesar""}, {""rated"":1})"
What is the average rating of movies with the genre 'Animation'?,"db.movies.aggregate([{""$match"": {""genres"": ""Animation""}}, {""$group"": { ""_id"": ""null"", ""avgRating"": {""$avg"": ""$imdb.rating"":}}}])"
who are the actors in the movie Tarzan the Ape Man?,"db.movies.find({""title"": ""Tarzan the Ape Man""}, {""cast"": 1})"
who is the writer of the movie Lloyd's of London?,"db.movies.find({""title"": ""Lloyd's of London""}, {""writers"": 1})"
What are the names of the films that were directed by Sergei Eisenstein and released in the 1990s?,"db.movies.find({""directors"": 'Sergei Eisenstein', ""year"": {""$gte"": 1990, ""$lt"": 2000}})"
What is the running time of the film Seven Chances?,"db.movies.find({""title"":""Seven Chances""}, {""runtime"":1})"
who wrote the screenplay for the film Men Without Women?,"db.movies.aggregate([ { ""$match"": { ""title"":""Men Without Women""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
What is the percentage of positive reviews among critics for the movie Bride of Frankenstein ?,"db.movies.find({ ""title"": ""Bride of Frankenstein"" },{ ""tomatoes.critic.meter"": 1 })"
what is the full plot for The Last Command?,"db.movies.find({""title"": ""The Last Command""}, {""fullplot"": 1})"
what kind of film is These Three?,"db.movies.find({""title"": ""These Three""}, {""genres"": 1})"
what is the movie Little Caesar about?,"db.movies.find({""title"": ""Little Caesar""}, {""plot"": 1})"
what was the release date of the film King of Jazz?,"db.movies.find({""title"": ""King of Jazz""}, {""released"": 1})"
what is the movie The Sin of Madelon Claudet about?,"db.movies.find({""title"": ""The Sin of Madelon Claudet""}, {""plot"": 1})"
What is the text description of the movie Mutiny on the Bounty awards?,"db.movies.find({""title"":""Mutiny on the Bounty""}, {""awards.text"":1})"
What is the quantity of movies that James Cameron has directed?,"db.movies.countDocuments({""directors"":""James Cameron""})"
What is the MPAA rating of the movie Traffic in Souls?,"db.movies.find({""title"":""Traffic in Souls""}, {""rated"":1})"
who was the film The 3 Penny Opera written by?,"db.movies.find({""title"": ""The 3 Penny Opera""}, {""writers"": 1})"
What is the IMDb rating for the movie The Four Horsemen of the Apocalypse?,"db.movies.find({""title"": ""The Four Horsemen of the Apocalypse""}, {""imdb.rating"": 1})"
What was the release date for the movie Mary of Scotland?,"db.movies.find({""title"":""Mary of Scotland""}, {""released"":1})"
What is the Rotten Tomatoes meter rating for the viewer reviews of the movie The Son of the Sheik ?,"db.movies.find({""title"":""The Son of the Sheik""}, {""tomatoes.viewer.meter"":1})"
what sort of film is From Hand to Mouth?,"db.movies.find({""title"": ""From Hand to Mouth""}, {""genres"": 1})"
"the film Broadway Bill,  was written by who?","db.movies.find({""title"": ""Broadway Bill""}, {""writers"": 1})"
"In movies directed by Ethan Coen, which actor has the highest number of performances?","db.movies.aggregate([ { ""$match"": { ""directors"": ""Ethan Coen"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
who starred in the film Little Caesar?,"db.movies.find({""title"": ""Little Caesar""}, {""cast"": 1})"
what genre is The Private Life of Don Juan?,"db.movies.find({""title"": ""The Private Life of Don Juan""}, {""genres"": 1})"
What are the names of the films that were directed by Alain Resnais and released in the 1990s?,"db.movies.find({""directors"": 'Alain Resnais', ""year"": {""$gte"": 1990, ""$lt"": 2000}})"
How many wins did the movie Payment Deferred receive?,"db.movies.find({""title"":""Payment Deferred""}, {""awards.wins"":1})"
who wrote the film Mèdchen in Uniform?,"db.movies.find({""title"": ""Mèdchen in Uniform""}, {""writers"": 1})"
who was the movie Imitation of Life written by?,"db.movies.find({""title"": ""Imitation of Life""}, {""writers"": 1})"
which company produced Triumph of the Will?,"db.movies.find({""title"":""Triumph of the Will""}, {""tomatoes.production"":1})"
What is the audience rating of the movie Children in the Wind ?,"db.movies.find({ ""title"": ""Children in the Wind"" },{ ""tomatoes.viewer.rating"": 1 })"
who produced the film City Lights?,"db.movies.find({""title"":""City Lights""}, {""tomatoes.production"":1})"
Who are the starring actors/actresses in the movie The Strong Man?,"db.movies.find({""title"":""The Strong Man""}, {""cast"":1})"
who is listed as director for Battling Butler?,"db.movies.find({""title"": ""Battling Butler""}, {""directors"": 1})"
who produced the movie From Hand to Mouth?,"db.movies.find({""title"":""From Hand to Mouth""}, {""tomatoes.production"":1})"
What is the MPAA rating of the film Mayerling?,"db.movies.find({""title"":""Mayerling""}, {""rated"":1})"
what is the movie The Devil Is a Woman description ?,"db.movies.find({""title"": ""The Devil Is a Woman""}, {""plot"": 1})"
What is the ID of the movie Freaks on IMDB?,"db.movies.find({""title"": ""Freaks""}, {""imdb.id"": 1})"
Can you provide more information about the Rotten Tomatoes rating for the movie Three Little Pigs?,"db.movies.find({""title"": ""Three Little Pigs""}, { ""tomatoes.critic"": 1, ""tomatoes.viewer"": 1, ""tomatoes.consensus"": 1 })"
what was the release year of the movie Toni?,"db.movies.find({""title"": ""Toni""}, {""year"": 1})"
how many awards did The Lives of a Bengal Lancer win?,"db.movies.find({""title"":""The Lives of a Bengal Lancer""}, {""awards.wins"":1})"
What is the Rotten Tomatoes meter rating for the viewer reviews of the movie Cops ?,"db.movies.find({""title"":""Cops""}, {""tomatoes.viewer.meter"":1})"
which person directed Go West?,"db.movies.find({""title"": ""Go West""}, {""directors"": 1})"
What is the combined duration of all films that Orson Welles directed?,"db.movies.aggregate([{ ""$match"": { ""directors"": ""Orson Welles"" } }, { ""$group"": { ""_id"": null, ""totalRuntime"": { $sum: ""$runtime"" } } }])"
which company produced the film The Blood of a Poet?,"db.movies.find({""title"":""The Blood of a Poet""}, {""tomatoes.production"":1})"
What is the IMDb rating for the movie Two Seconds?,"db.movies.find({""title"": ""Two Seconds""}, {""imdb.rating"": 1})"
How many wins did the movie Earth receive?,"db.movies.find({""title"":""Earth""}, {""awards.wins"":1})"
who is the author of Movie Crazy?,"db.movies.find({""title"": ""Movie Crazy""}, {""writers"": 1})"
How long is the movie Elephant Boy in minutes?,"db.movies.find({""title"":""Elephant Boy""}, {""runtime"":1})"
what is the film Three Smart Girls description ?,"db.movies.find({""title"": ""Three Smart Girls""}, {""plot"": 1})"
who acted in the movie The Kid Brother?,"db.movies.find({""title"": ""The Kid Brother""}, {""cast"": 1})"
What is the full plot summary of the movie Swedenhielms Family ?,"db.movies.find({""title"": ""Swedenhielms Family""}, {""plot"": 1})"
"the film Lonesome,  was written by who?","db.movies.find({""title"": ""Lonesome""}, {""writers"": 1})"
who acted in the movie Gold Diggers of 1933?,"db.movies.find({""title"": ""Gold Diggers of 1933""}, {""cast"": 1})"
What is the production company of the film The Spanish Earth?,"db.movies.find({""title"":""The Spanish Earth""}, {""tomatoes.production"":1})"
Tsirk is written by this person?,"db.movies.find({""title"": ""Tsirk""}, {""writers"": 1})"
What is the MPAA rating of the movie Salomè?,"db.movies.find({""title"":""Salomè""}, {""rated"":1})"
what is This Is My Affair about in details?,"db.movies.find({""title"": ""This Is My Affair""}, {""fullplot"": 1})"
What is the ID of the movie Go West on IMDB?,"db.movies.find({""title"": ""Go West""}, {""imdb.id"": 1})"
who stars in Berkeley Square?,"db.movies.find({""title"": ""Berkeley Square""}, {""cast"": 1})"
Which Andrei Tarkovsky film has the shortest duration?,"db.movies.find({""directors"":""Andrei Tarkovsky""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": 1}).limit(1)"
What is the runtime and rating for the movie 'Marked Woman'?,"db.movies.find({""title"": ""Marked Woman""}, {""runtime"": 1, ""rated"": 1})"
What is the running time of the movie Wings?,"db.movies.find({""title"":""Wings""}, {""runtime"":1})"
What is the percentage of positive reviews among critics for the movie Tarzan the Ape Man ?,"db.movies.find({ ""title"": ""Tarzan the Ape Man"" },{ ""tomatoes.critic.meter"": 1 })"
what sort of movie is The Pearls of the Crown?,"db.movies.find({""title"": ""The Pearls of the Crown""}, {""genres"": 1})"
Who are the main actors in Tarzan the Ape Man ?,"db.movies.find({ ""title"": ""Tarzan the Ape Man"" }, { ""cast"": 1})"
Who is the lead actress of the movie The Ghost Goes West ?,"db.movies.find({""title"": ""The Ghost Goes West""}, {""cast"":{""$slice"": 1},""title"":1})"
who acted in the movie Broadway Melody of 1936?,"db.movies.find({""title"": ""Broadway Melody of 1936""}, {""cast"": 1})"
In what language was the movie Storm Over Asia released?,"db.movies.find({ ""title"": ""Storm Over Asia"" }, { ""languages"": 1})"
Which actor has the greatest number of roles in Ingmar Bergman's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Ingmar Bergman"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What is the running time of Harvest?,"db.movies.find({""title"":""Harvest""}, {""runtime"":1})"
what is Two Seconds description?,"db.movies.find({""title"": ""Two Seconds""}, {""plot"": 1})"
What languages are spoken in the movie Little Women ?,"db.movies.find({""title"": ""Little Women""}, { ""languages"": 1})"
Who are the main actors/actresses in the movie Show People?,"db.movies.find({""title"":""Show People""}, {""cast"":1})"
Can you provide me with a list of Steven Spielberg-directed movies with the highest ratings?,"db.movies.find({""directors"": 'Steven Spielberg', ""imdb.rating"": {""$gt"": 8.5}})"
What is Oliver Stone's highest-rated movie on Rotten Tomatoes?,"db.movies.find({""directors"": ""Oliver Stone"", ""tomatoes.critic.rating"": {""$exists"": true}}, {""title"": 1, ""_id"": 0}).sort({""tomatoes.critic.rating"": -1}).limit(1)"
what is the genre for the movie Harvest?,"db.movies.find({""title"": ""Harvest""}, {""genres"": 1})"
How many votes does the movie Folies Bergère de Paris have on IMDb?,"db.movies.find({""title"":""Folies Bergère de Paris""}, {""imdb.votes"":1})"
