Questions,Queries
how has Gold Diggers of 1933 been recieved by critics and audience?,"db.movies.find({""title"":""Gold Diggers of 1933""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
What is the rating of the movie The Edge of the World on IMDb?,"db.movies.find({""title"":""The Edge of the World""}, {""imdb.rating"":1})"
who is listed as director for Go West?,"db.movies.find({""title"": ""Go West""}, {""directors"": 1})"
who stars in the film Battling Butler?,"db.movies.find({""title"": ""Battling Butler""}, {""cast"": 1})"
what is the movie Twentieth Century about in details?,"db.movies.find({""title"": ""Twentieth Century""}, {""fullplot"": 1})"
the film The Son of Kong was directed by who?,"db.movies.find({""title"": ""The Son of Kong""}, {""directors"": 1})"
What is the production company of the movie These Three?,"db.movies.find({""title"":""These Three""}, {""tomatoes.production"":1})"
What is the plot summary of the movie Tol'able David ?,"db.movies.find({ ""title"": ""Tol'able David"" }, { ""plot"": 1})"
In which countries was the movie Smilin' Through produced?,"db.movies.find({""title"":""Smilin' Through""}, {""countries"":1})"
which company produced David Golder?,"db.movies.find({""title"":""David Golder""}, {""tomatoes.production"":1})"
Who are the starring actors/actresses in the movie The Blue Bird?,"db.movies.find({""title"":""The Blue Bird""}, {""cast"":1})"
how many awards did the movie Sons of the Desert win?,"db.movies.find({""title"":""Sons of the Desert""}, {""awards.wins"":1})"
the movie The Birth of a Nation starred who?,"db.movies.find({""title"": ""The Birth of a Nation""}, {""cast"": 1})"
what is the film Topaze about?,"db.movies.find({""title"": ""Topaze""}, {""plot"": 1})"
How did the audience and critics receive the movie The Gilded Lily?,"db.movies.find({""title"":""The Gilded Lily""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
who starred in Where Are My Children??,"db.movies.find({""title"": ""Where Are My Children?""}, {""cast"": 1})"
who was the movie Queen Kelly written by?,"db.movies.find({""title"": ""Queen Kelly""}, {""writers"": 1})"
What is the production company of the movie Snow White and the Seven Dwarfs?,"db.movies.find({""title"":""Snow White and the Seven Dwarfs""}, {""tomatoes.production"":1})"
What are the names of all the actors who starred in the movie 'The Public Enemy'?,"db.movies.find({""title"": ""The Public Enemy""}, {""cast"": 1})"
What is the plot summary of the movie The Scarlet Empress ?,"db.movies.find({ ""title"": ""The Scarlet Empress"" }, { ""plot"": 1})"
Who is the lead actress of the movie A Night at the Opera ?,"db.movies.find({""title"": ""A Night at the Opera""}, {""cast"":{""$slice"": 1},""title"":1})"
who is the author of From Hand to Mouth?,"db.movies.find({""title"": ""From Hand to Mouth""}, {""writers"": 1})"
who is the director of The Green Pastures?,"db.movies.find({""title"": ""The Green Pastures""}, {""directors"": 1})"
what is The Awful Truth imdb rating?,"db.movies.find({""title"": ""The Awful Truth""}, {""imdb.rating"": 1})"
who was the writer of the movie Men Without Women?,"db.movies.find({""title"": ""Men Without Women""}, {""writers"": 1})"
"What is the meter score of the movie Laugh, Clown, Laugh according to viewers on Rotten Tomatoes?","db.movies.find({""title"": ""Laugh, Clown, Laugh""}, {""tomatoes.viewer.meter"": 1})"
How many reviews have been submitted by critics for the movie The Green Pastures?,"db.movies.find({ ""title"": ""The Green Pastures"" }, { ""tomatoes.critic.numReviews"": 1 })"
what genre of movie is Secret Agent?,"db.movies.find({""title"": ""Secret Agent""}, {""genres"": 1})"
How many votes does the movie Nosferatu have on IMDb?,"db.movies.find({""title"":""Nosferatu""}, {""imdb.votes"":1})"
In which genre do the movies directed by Joel Coen mainly fall under?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Joel Coen"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
who acted in the movie A Midsummer Night's Dream?,"db.movies.find({""title"": ""A Midsummer Night's Dream""}, {""cast"": 1})"
what year was the movie A Woman of Paris: A Drama of Fate released?,"db.movies.find({""title"": ""A Woman of Paris: A Drama of Fate""}, {""year"": 1})"
What is the imdbID and genre of the movie 'For Heaven's Sake'?,"db.movies.find({""title"": ""For Heaven's Sake""}, {""imdb.id"": 1, ""genres"": 1, ""_id"": 0})"
who directed the film The Power and the Glory?,"db.movies.find({""title"": ""The Power and the Glory""}, {""directors"": 1})"
What is the production company of They Won't Forget?,"db.movies.find({""title"":""They Won't Forget""}, {""tomatoes.production"":1})"
what is The Scarlet Empress description?,"db.movies.find({""title"": ""The Scarlet Empress""}, {""plot"": 1})"
How many viewer reviews did the movie The Wedding Night receive on Rotten Tomatoes?,"db.movies.find({""title"":""The Wedding Night""}, {""tomatoes.viewer.numReviews"":1})"
who directed Gold Diggers of 1933?,"db.movies.find({""title"": ""Gold Diggers of 1933""}, {""directors"": 1})"
what was the release date of the movie Now or Never?,"db.movies.find({""title"": ""Now or Never""}, {""released"": 1})"
what was the genre of Swedenhielms Family?,"db.movies.find({""title"": ""Swedenhielms Family""}, {""genres"": 1})"
When was the information about the movie Moscow Laughs last updated?,"db.movies.find({ ""title"": ""Moscow Laughs"" }, { ""lastupdated"": 1})"
Has the movie A Damsel in Distress won any awards?,"db.movies.find({""title"":""A Damsel in Distress""}, {""awards.wins"":1})"
Which cinematic productions were directed by Jean-Luc Godard?,"db.movies.find({""directors"": ""Jean-Luc Godard""},{""title"":1})"
what was the genre of the movie Wild and Woolly?,"db.movies.find({""title"": ""Wild and Woolly""}, {""genres"": 1})"
Which actor has the highest count of appearances in Alfred Hitchcock's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Alfred Hitchcock"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
who is the author of Wife! Be Like a Rose!?,"db.movies.find({""title"": ""Wife! Be Like a Rose!""}, {""writers"": 1})"
What type of movie is These Three ?,"db.movies.find({""title"":""These Three""}, {""genres"":1})"
how many awards did Secret Agent win?,"db.movies.find({""title"":""Secret Agent""}, {""awards.wins"":1})"
What is the language of the film Show People?,"db.movies.find({""title"":""Show People""}, {""languages"":1})"
Can you provide more information about the Rotten Tomatoes rating for the movie Wild Boys of the Road?,"db.movies.find({""title"": ""Wild Boys of the Road""}, { ""tomatoes.critic"": 1, ""tomatoes.viewer"": 1, ""tomatoes.consensus"": 1 })"
What is the Tomatometer score of the movie The Divorcee ?,"db.movies.find({ ""title"": ""The Divorcee"" },{ ""tomatoes.critic.meter"": 1 })"
Who are the main actors in A Night at the Opera ?,"db.movies.find({ ""title"": ""A Night at the Opera"" }, { ""cast"": 1})"
who wrote the screenplay for the film San Francisco?,"db.movies.aggregate([ { ""$match"": { ""title"":""San Francisco""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
what is the movie The Gold Rush imdb rating?,"db.movies.find({""title"": ""The Gold Rush""}, {""imdb.rating"": 1})"
what sort of film is Broadway Bill?,"db.movies.find({""title"": ""Broadway Bill""}, {""genres"": 1})"
who wrote the screenplay for the movie Civilization?,"db.movies.aggregate([ { ""$match"": { ""title"":""Civilization""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
Who are the main actors in Little Miss Marker ?,"db.movies.find({ ""title"": ""Little Miss Marker"" }, { ""cast"": 1})"
which person wrote The Land Beyond the Sunset?,"db.movies.find({""title"": ""The Land Beyond the Sunset""}, {""writers"": 1})"
who is the director that directed Alice Adams?,"db.movies.find({""title"": ""Alice Adams""}, {""directors"": 1})"
how many awards did Cimarron win?,"db.movies.find({""title"":""Cimarron""}, {""awards.wins"":1})"
How many votes did the movie The Kid Brother receive on IMDB?,"db.movies.find({""title"": ""The Kid Brother""}, { ""imdb.votes"": 1})"
In which countries was the movie The Navigator produced?,"db.movies.find({""title"":""The Navigator""}, {""countries"":1})"
who directed Broken Blossoms or The Yellow Man and the Girl?,"db.movies.find({""title"": ""Broken Blossoms or The Yellow Man and the Girl""}, {""directors"": 1})"
What is the rating of the movie Two Seconds ?,"db.movies.find({ ""title"": ""Two Seconds"" }, { ""rated"": 1})"
What is the running time of Storm Over Asia?,"db.movies.find({""title"":""Storm Over Asia""}, {""runtime"":1})"
the film She starred who?,"db.movies.find({""title"": ""She""}, {""cast"": 1})"
What is the combined duration of all films that Jacques Rivette directed?,"db.movies.aggregate([{ ""$match"": { ""directors"": ""Jacques Rivette"" } }, { ""$group"": { ""_id"": null, ""totalRuntime"": { $sum: ""$runtime"" } } }])"
the film Going Hollywood was directed by who?,"db.movies.find({""title"": ""Going Hollywood""}, {""directors"": 1})"
what is the plot for the film Rembrandt?,"db.movies.find({""title"": ""Rembrandt""}, {""plot"": 1})"
what is the full plot for the film Mutiny on the Bounty?,"db.movies.find({""title"": ""Mutiny on the Bounty""}, {""fullplot"": 1})"
How many wins did the movie The Dark Angel receive?,"db.movies.find({""title"":""The Dark Angel""}, {""awards.wins"":1})"
who's the director of Romeo and Juliet?,"db.movies.find({""title"": ""Romeo and Juliet""}, {""directors"": 1})"
What is the IMDb rating for the movie Asphalt?,"db.movies.find({""title"": ""Asphalt""}, {""imdb.rating"": 1})"
who stars in the movie State Fair?,"db.movies.find({""title"": ""State Fair""}, {""cast"": 1})"
who stars in the film The Music Box?,"db.movies.find({""title"": ""The Music Box""}, {""cast"": 1})"
who is listed as director for Broken Lullaby?,"db.movies.find({""title"": ""Broken Lullaby""}, {""directors"": 1})"
who stars in the movie Gold Diggers of 1935?,"db.movies.find({""title"": ""Gold Diggers of 1935""}, {""cast"": 1})"
How many reviews have been submitted for the movie The World Moves On on Rotten Tomatoes?,"db.movies.find({ ""title"": ""The World Moves On"" },{ ""tomatoes.viewer.numReviews"": 1 })"
who directed The Story of a Cheat?,"db.movies.find({""title"": ""The Story of a Cheat""}, {""directors"": 1})"
what is the movie The Docks of New York about in details?,"db.movies.find({""title"": ""The Docks of New York""}, {""fullplot"": 1})"
What are the genres associated with the movie The Great Ziegfeld ?,"db.movies.find({ ""title"": ""The Great Ziegfeld"" }, { ""genres"": 1})"
what genre of movie is A Midsummer Night's Dream?,"db.movies.find({""title"": ""A Midsummer Night's Dream""}, {""genres"": 1})"
who produced the film The Prisoner of Shark Island?,"db.movies.find({""title"":""The Prisoner of Shark Island""}, {""tomatoes.production"":1})"
what is the film Show People imdb rating?,"db.movies.find({""title"": ""Show People""}, {""imdb.rating"": 1})"
What is the running time of the movie Our Hospitality?,"db.movies.find({""title"":""Our Hospitality""}, {""runtime"":1})"
What is the running time of the movie Lady Windermere's Fan?,"db.movies.find({""title"":""Lady Windermere's Fan""}, {""runtime"":1})"
who directed Viva Villa!?,"db.movies.find({""title"": ""Viva Villa!""}, {""directors"": 1})"
Could you give me the average rating of Clint Eastwood's movies that are in the database?,"db.movies.aggregate([{""$match"": {""directors"":""Clint Eastwood""}}, {""$group"": { ""_id"":""null"", ""avgRating"": {""$avg"": ""$imdb.rating""}}}])"
who wrote the screenplay for the film The Count of Monte Cristo?,"db.movies.aggregate([ { ""$match"": { ""title"":""The Count of Monte Cristo""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
How many reviews did the movie Westfront 1918 receive on Rotten Tomatoes?,"db.movies.find({""title"":""Westfront 1918""}, {""tomatoes.viewer.numReviews"": 1,""tomatoes.critic.numReviews"":1})"
who acted in the film Three Smart Girls?,"db.movies.find({""title"": ""Three Smart Girls""}, {""cast"": 1})"
What is the language of the movie Metropolis?,"db.movies.find({""title"":""Metropolis""}, {""languages"":1})"
What is the movie Anthony Adverse about? Can you provide a brief summary?,"db.movies.find({""title"":""Anthony Adverse""}, {""plot"":1})"
who starred in the movie Within Our Gates?,"db.movies.find({""title"": ""Within Our Gates""}, {""cast"": 1})"
Who are the main actors in Swing Time ?,"db.movies.find({ ""title"": ""Swing Time"" }, { ""cast"": 1})"
Who are the actors that appear in the movie Les Misèrables ?,"db.movies.find({ ""title"": ""Les Misèrables"" },{ ""cast"": 1 })"
who stars in the film Steamboat Willie?,"db.movies.find({""title"": ""Steamboat Willie""}, {""cast"": 1})"
What is the name of the actor who appears most frequently in movies directed by Joel Coen?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Joel Coen"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
How many audience reviews have been submitted for the movie Lloyd's of London ?,"db.movies.find({ ""title"": ""Lloyd's of London"" },{ ""tomatoes.viewer.numReviews"": 1 })"
"In the database, what is the usual rating given to Federico Fellini's movies on average?","db.movies.aggregate([{""$match"": {""directors"":""Federico Fellini""}}, {""$group"": { ""_id"":""null"", ""avgRating"": {""$avg"": ""$imdb.rating""}}}])"
What is the production company of the film Mr. Deeds Goes to Town?,"db.movies.find({""title"":""Mr. Deeds Goes to Town""}, {""tomatoes.production"":1})"
What is the production company behind the movie The Invisible Ray ?,"db.movies.find({""title"": ""The Invisible Ray""}, {""tomatoes.production"": 1})"
How long is the runtime of the movie It Happened One Night ?,"db.movies.find({""title"":""It Happened One Night""}, {""runtime"":1})"
What are the genres this movie The Blood of a Poet belongs to?,"db.movies.find({""title"":""The Blood of a Poet""}, {""genres"":1})"
who is the director for The Wedding March?,"db.movies.find({""title"": ""The Wedding March""}, {""directors"": 1})"
What is the runtime of the movie Cimarron ?,"db.movies.find({""title"": ""Cimarron""}, { ""runtime"": 1})"
What is the production company of Grass: A Nation's Battle for Life?,"db.movies.find({""title"":""Grass: A Nation's Battle for Life""}, {""tomatoes.production"":1})"
who produced the film Daughter of Shanghai?,"db.movies.find({""title"":""Daughter of Shanghai""}, {""tomatoes.production"":1})"
what type of movie is Shall We Dance?,"db.movies.find({""title"": ""Shall We Dance""}, {""genres"": 1})"
What is the box office revenue for the movie 'Les Misèrables'?,"db.movies.find({""title"": ""Les Misèrables""}, {""tomatoes.boxOffice"": 1})"
What is the running time of One Night of Love?,"db.movies.find({""title"":""One Night of Love""}, {""runtime"":1})"
who was Nosferatu written by?,"db.movies.find({""title"": ""Nosferatu""}, {""writers"": 1})"
who acted in the film Hallelujah?,"db.movies.find({""title"": ""Hallelujah""}, {""cast"": 1})"
What is the box office revenue of the movie Naughty Marietta ?,"db.movies.find({""title"": ""Naughty Marietta""}, { ""tomatoes.boxOffice"": 1})"
what kind of movie is Carnival in Flanders?,"db.movies.find({""title"": ""Carnival in Flanders""}, {""genres"": 1})"
Which actor has the highest number of appearances in movies directed by Wes Anderson?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Wes Anderson"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
"Robin Hood, is written by who?","db.movies.find({""title"": ""Robin Hood""}, {""writers"": 1})"
who is the writer of the film Everybody's Woman?,"db.movies.find({""title"": ""Everybody's Woman""}, {""writers"": 1})"
how has The Awful Truth been recieved by critics and audience?,"db.movies.find({""title"":""The Awful Truth""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
"Has The Great Train Robbery won any awards? If so, which ones?","db.movies.find({""title"":""The Great Train Robbery"",""awards.wins"": {""$gt"": 0}}, {""awards.text"": 1})"
who wrote the screenplay for Street Angel?,"db.movies.aggregate([ { ""$match"": { ""title"":""Street Angel""} }, { ""$project"": { ""_id"": 0, ""writers"": {""$filter"": { ""input"": ""$writers"", ""as"": ""writer"", ""cond"": { ""$regexMatch"": { ""input"": ""$$writer"", ""regex"": ""screenplay"", ""options"":""i"" } } } } } }])"
Who is the director of the movie It Happened One Night?,"db.movies.find({""title"": ""It Happened One Night""}, { ""directors"": 1})"
what kind of film is Nosferatu?,"db.movies.find({""title"": ""Nosferatu""}, {""genres"": 1})"
who directed the film L'opèra de quat'sous?,"db.movies.find({""title"": ""L'opèra de quat'sous""}, {""directors"": 1})"
what is Wife! Be Like a Rose! description?,"db.movies.find({""title"": ""Wife! Be Like a Rose!""}, {""plot"": 1})"
What is the movie The Hurricane rating?,"db.movies.find({""title"":""The Hurricane""}, {""rated"":1})"
who is the writer of the film Masquerade in Vienna?,"db.movies.find({""title"": ""Masquerade in Vienna""}, {""writers"": 1})"
Eskimo is written by this person?,"db.movies.find({""title"": ""Eskimo""}, {""writers"": 1})"
How many films did Vittorio De Sica direct in each year they were released?,"db.movies.aggregate([{ $match: { ""directors"": ""Vittorio De Sica"" }},{""$group"": { ""_id"": ""$year"", ""count"": {""$sum"": 1}}}])"
who are the actors in the film Foolish Wives?,"db.movies.find({""title"": ""Foolish Wives""}, {""cast"": 1})"
What is the box office revenue of the movie Camille ?,"db.movies.find({""title"": ""Camille""}, { ""tomatoes.boxOffice"": 1})"
Who are the main actors in Dishonored ?,"db.movies.find({ ""title"": ""Dishonored"" }, { ""cast"": 1})"
When was the movie Lady Windermere's Fan released?,"db.movies.find({""title"":""Lady Windermere's Fan""}, {""released"":1})"
What type of media is The Barretts of Wimpole Street?,"db.movies.find({ ""title"": ""The Barretts of Wimpole Street"" }, { ""type"": 1})"
What is the audience rating of the movie San Francisco ?,"db.movies.find({ ""title"": ""San Francisco"" },{ ""tomatoes.viewer.rating"": 1 })"
What are the countries associated with the movie The New Gulliver ?,"db.movies.find({""title"": ""The New Gulliver""}, {""countries"": 1})"
What is the viewer rating for the movie The Wind on Rotten Tomatoes?,"db.movies.find({""title"":""The Wind""}, {""tomatoes.viewer.rating"":1})"
Can you provide more information about the languages spoken in the movie Cavalcade ?,"db.movies.find({""title"":""Cavalcade""}, {""languages"":1})"
How many nominations did the movie Seven Chances receive?,"db.movies.find({""title"":""Seven Chances""}, {""awards.nominations"":1})"
Which actor has the highest count of appearances in Akira Kurosawa's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Akira Kurosawa"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
what is the genre of The Thin Man?,"db.movies.find({""title"": ""The Thin Man""}, {""genres"": 1})"
What is the MPAA rating of Captains Courageous?,"db.movies.find({""title"":""Captains Courageous""}, {""rated"":1})"
What is the Tomatometer score of the movie Beau Geste ?,"db.movies.find({ ""title"": ""Beau Geste"" },{ ""tomatoes.critic.meter"": 1 })"
what year was the movie The Sin of Madelon Claudet released?,"db.movies.find({""title"": ""The Sin of Madelon Claudet""}, {""year"": 1})"
What is the Rotten Tomatoes meter rating for the movie The Crowd Roars ?,"db.movies.find({""title"":""The Crowd Roars""}, {""tomatoes.viewer.meter"": 1,""tomatoes.critic.meter"":1})"
How did the audience and critics receive the movie The Big Parade?,"db.movies.find({""title"":""The Big Parade""}, {""tomatoes.viewer"": 1,""tomatoes.critic"":1})"
How many audience reviews have been submitted for the movie The Kid?,"db.movies.find({ ""title"": ""The Kid"" }, { ""tomatoes.viewer.numReviews"": 1 })"
What is the production company behind the movie x?,"db.movies.find({""title"": ""Blacksmith Scene""}, { ""tomatoes.production"": 1})"
Which film directed by Luchino Visconti has the highest rating on Rotten Tomatoes?,"db.movies.find({""directors"": ""Luchino Visconti"", ""tomatoes.critic.rating"": {""$exists"": true}}, {""title"": 1, ""_id"": 0}).sort({""tomatoes.critic.rating"": -1}).limit(1)"
who stars in the film Captains Courageous?,"db.movies.find({""title"": ""Captains Courageous""}, {""cast"": 1})"
what genre is the film Earth?,"db.movies.find({""title"": ""Earth""}, {""genres"": 1})"
What is the IMDB rating of the movie Chapayev ?,"db.movies.find({""title"": ""Chapayev""}, { ""imdb.rating"": 1})"
What is the production company of the film Comradeship?,"db.movies.find({""title"":""Comradeship""}, {""tomatoes.production"":1})"
who produced the film San Francisco?,"db.movies.find({""title"":""San Francisco""}, {""tomatoes.production"":1})"
What is the running time of The Gold Rush?,"db.movies.find({""title"":""The Gold Rush""}, {""runtime"":1})"
What is the runtime of the movie The Strong Man ?,"db.movies.find({""title"": ""The Strong Man""}, { ""runtime"": 1})"
Could you tell me the exact number of films that have been directed by Jean-Luc Godard?,"db.movies.countDocuments({""directors"":""Jean-Luc Godard""})"
Which of Jean Renoir's directed films has the lengthiest duration?,"db.movies.find({""directors"":""Jean Renoir""}, {""title"": 1, ""runtime"": 1}).sort({""runtime"": -1}).limit(1)"
what is the plot for the movie The Gay Divorcee?,"db.movies.find({""title"": ""The Gay Divorcee""}, {""plot"": 1})"
What is the Rotten Tomatoes meter rating for the viewer reviews of the movie Marked Woman ?,"db.movies.find({""title"":""Marked Woman""}, {""tomatoes.viewer.meter"":1})"
What is the rating of the movie The Black Cat ?,"db.movies.find({ ""title"": ""The Black Cat"" }, { ""rated"": 1})"
What is the ID of the movie Going Hollywood on IMDB?,"db.movies.find({""title"": ""Going Hollywood""}, {""imdb.id"": 1})"
Who is the lead actor of the movie Freaks ?,"db.movies.find({""title"": ""Freaks""}, {""cast"":{""$slice"": 1},""title"":1})"
Has the movie The Wedding March won any awards?,"db.movies.find({""title"":""The Wedding March""}, {""awards.wins"":1})"
who stars in the movie It's a Gift?,"db.movies.find({""title"": ""It's a Gift""}, {""cast"": 1})"
who stars in In Old Arizona?,"db.movies.find({""title"": ""In Old Arizona""}, {""cast"": 1})"
what type of movie is Going Hollywood?,"db.movies.find({""title"": ""Going Hollywood""}, {""genres"": 1})"
who are the actors in the film Sons of the Desert?,"db.movies.find({""title"": ""Sons of the Desert""}, {""cast"": 1})"
Was the movie The Gay Divorcee well received by audiences?,"db.movies.find({""title"":""The Gay Divorcee""}, {""tomatoes.viewer"":1})"
Which films did Gus Van Sant direct in the 1990s?,"db.movies.find({""directors"": 'Gus Van Sant', ""year"": {""$gte"": 1990, ""$lt"": 2000}})"
who are the actors in the movie Wife! Be Like a Rose!?,"db.movies.find({""title"": ""Wife! Be Like a Rose!""}, {""cast"": 1})"
what was the release year of The New Gulliver?,"db.movies.find({""title"": ""The New Gulliver""}, {""year"": 1})"
"In Jean-Luc Godard's directed movies, which actor has made the most appearances?","db.movies.aggregate([ { ""$match"": { ""directors"": ""Jean-Luc Godard"" } }, { ""$unwind"": ""$cast"" }, { ""$group"": { ""_id"": ""$cast"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
who is listed as director for Little Women?,"db.movies.find({""title"": ""Little Women""}, {""directors"": 1})"
What is the IMDb rating for All Quiet on the Western Front?,"db.movies.find({""title"": ""All Quiet on the Western Front""}, {""imdb.rating"": 1})"
What is the website associated with the movie Dames on Rotten Tomatoes?,"db.movies.find({""title"": ""Dames""}, {""tomatoes.website"": 1})"
How many reviews have been submitted by critics for the movie The Dark Angel?,"db.movies.find({ ""title"": ""The Dark Angel"" }, { ""tomatoes.critic.numReviews"": 1 })"
How many reviews have been submitted for the movie The Thin Man on Rotten Tomatoes?,"db.movies.find({ ""title"": ""The Thin Man"" },{ ""tomatoes.viewer.numReviews"": 1 })"
Which types of movies has Jacques Rivette directed?,"db.movies.distinct(""genres"", { ""directors"": ""Jacques Rivette"" })"
What is the meter score of the movie The Good Earth according to viewers on Rotten Tomatoes?,"db.movies.find({""title"": ""The Good Earth""}, {""tomatoes.viewer.meter"": 1})"
"the film The Informer,  was written by who?","db.movies.find({""title"": ""The Informer""}, {""writers"": 1})"
who stars in the film Les Misèrables?,"db.movies.find({""title"": ""Les Misèrables""}, {""cast"": 1})"
Who are the actors that appear in the movie Imitation of Life ?,"db.movies.find({ ""title"": ""Imitation of Life"" },{ ""cast"": 1 })"
What is the Metacritic score of the movie Moscow Laughs ?,"db.movies.find({ ""title"": ""Moscow Laughs"" }, { ""metacritic"": 1})"
What are the genres this movie Where Are My Children? belongs to?,"db.movies.find({""title"":""Where Are My Children?""}, {""genres"":1})"
What is the dominant genre of David Lynch's directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""David Lynch"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
"the movie The Crowd, was written by who?","db.movies.find({""title"": ""The Crowd""}, {""writers"": 1})"
What is the Rotten Tomatoes meter rating for the viewer reviews of the movie Three Ages ?,"db.movies.find({""title"":""Three Ages""}, {""tomatoes.viewer.meter"":1})"
who are the actors in the film Cavalcade?,"db.movies.find({""title"": ""Cavalcade""}, {""cast"": 1})"
who was Ruggles of Red Gap written by?,"db.movies.find({""title"": ""Ruggles of Red Gap""}, {""writers"": 1})"
who stars in the film The Saphead?,"db.movies.find({""title"": ""The Saphead""}, {""cast"": 1})"
can you describe the plot of Smilin' Through?,"db.movies.find({""title"": ""Smilin' Through""}, {""plot"": 1})"
In what language was the movie Theodora Goes Wild released?,"db.movies.find({ ""title"": ""Theodora Goes Wild"" }, { ""languages"": 1})"
Can you provide a longer version of the movie Tol'able David plot?,"db.movies.find({""title"":""Tol'able David""}, {""fullplot"":1})"
What is the production company of the movie The Immigrant?,"db.movies.find({""title"":""The Immigrant""}, {""tomatoes.production"":1})"
What is the principal film genre that Orson Welles focuses on in his directed movies?,"db.movies.aggregate([ { ""$match"": { ""directors"": ""Orson Welles"" } }, { ""$unwind"": ""$genres"" }, { ""$group"": { ""_id"": ""$genres"", ""count"": { ""$sum"": 1 } } }, { ""$sort"": { ""count"": -1 } }, { ""$limit"": 1 }])"
What is the Metacritic score of the movie King Solomon's Mines ?,"db.movies.find({ ""title"": ""King Solomon's Mines"" }, { ""metacritic"": 1})"
What is the IMDb rating for the movie Payment Deferred ?,"db.movies.find({""title"":""Payment Deferred""}, {""imdb.rating"":1})"
How many votes did the movie The Invisible Ray receive on IMDB?,"db.movies.find({""title"": ""The Invisible Ray""}, { ""imdb.votes"": 1})"
Who are the actors that appear in the movie One Week ?,"db.movies.find({ ""title"": ""One Week"" },{ ""cast"": 1 })"
"The Wedding Night, is written by who?","db.movies.find({""title"": ""The Wedding Night""}, {""writers"": 1})"
Can you name the movie genres that Akira Kurosawa has directed?,"db.movies.distinct(""genres"", { ""directors"": ""Akira Kurosawa"" })"
In what year was the movie Topaze released?,"db.movies.find({""title"":""Topaze""}, {""year"":1})"
who are the actors in the film This Is My Affair?,"db.movies.find({""title"": ""This Is My Affair""}, {""cast"": 1})"
who was the movie The Champ written by?,"db.movies.find({""title"": ""The Champ""}, {""writers"": 1})"
who wrote Wonder Bar?,"db.movies.find({""title"": ""Wonder Bar""}, {""writers"": 1})"
What is the MPAA rating of the film The Song of Night?,"db.movies.find({""title"":""The Song of Night""}, {""rated"":1})"
the movie Wife! Be Like a Rose! starred which actors?,"db.movies.find({""title"": ""Wife! Be Like a Rose!""}, {""cast"": 1})"
What is the text description of the movie Frankenstein awards?,"db.movies.find({""title"":""Frankenstein""}, {""awards.text"":1})"
what was the genre of the movie The Big Parade?,"db.movies.find({""title"": ""The Big Parade""}, {""genres"": 1})"
who are the actors in the film Our Hospitality?,"db.movies.find({""title"": ""Our Hospitality""}, {""cast"": 1})"
who is the writer of the movie Upstream?,"db.movies.find({""title"": ""Upstream""}, {""writers"": 1})"
What is the MongoDB document ID of the movie The Four Horsemen of the Apocalypse?,"db.movies.find({""title"": ""The Four Horsemen of the Apocalypse""}, {""_id"": 1})"
